ID,DOCID,SENID,DOCDATE,COUNTRYNAME,COUNTRYACR,COUNTRYCODE,REGION,REGION CODE,MUNICIPALITY,IDARTICLE,LEGAL_TEXT_OR,LEGAL TEXT_EN,COMMENT,AUTHORITY,COVERAGE,LEGALFORM,VERIFLEGAL,TARGETEDGROUPS,CONSTRAINTS,ANNOUNCE,TOTALNBFINES,TOTALNBJAIL,TOTALNBRARRTESTS,TYPEVENT1,SUBTYPEVENT101,SUBTYPEVENT102,SUBTYPEVENT103,SUBTYPEVENT104,SUBTYPEVENT105,SUBTYPEVENT106,SUBTYPEVENT107,SUBTYPEVENT108,SUBTYPEVENT109,SUBTYPEVENT110,SUBTYPEVENT111,COMMENT1,TYPEVENT2,SUBTYPEVENT201,SUBTYPEVENT202,SUBTYPEVENT203,SUBTYPEVENT204,SUBTYPEVENT205,SUBTYPEVENT206,SUBTYPEVENT207,COMMENT2,TYPEVENT3,SUBTYPEVENT301,SUBTYPEVENT302,SUBTYPEVENT303,SUBTYPEVENT304,SUBTYPEVENT305,SUBTYPEVENT306,SUBTYPEVENT307,SUBTYPEVENT308,SUBTYPEVENT309,SUBTYPEVENT310,SUBTYPEVENT311,COMMENT3,TYPEVENT4,SUBTYPEVENT401,SUBTYPEVENT421,SUBTYPEVENT402,SUBTYPEVENT403,SUBTYPEVENT404,SUBTYPEVENT405,SUBTYPEVENT406,SUBTYPEVENT407,SUBTYPEVENT427,SUBTYPEVENT408,SUBTYPEVENT409,SUBTYPEVENT410,SUBTYPEVENT411,SUBTYPEVENT412,SUBTYPEVENT413,SUBTYPEVENT414,SUBTYPEVENT415,COMMENT4,TYPEVENT9,SUBTYPEVENT901,SUBTYPEVENT902,SUBTYPEVENT903,SUBTYPEVENT904,SUBTYPEVENT905,COMMENT9,TYPEVENT5,SUBTYPEVENT501,SUBTYPEVENT502,SUBTYPEVENT503,SUBTYPEVENT504,SUBTYPEVENT505,SUBTYPEVENT506,SUBTYPEVENT507,SUBTYPEVENT508,COMMENT5,TYPEVENT6,SUBTYPEVENT601,SUBTYPEVENT602,SUBTYPEVENT603,SUBTYPEVENT604,SUBTYPEVENT605,SUBTYPEVENT606,SUBTYPEVENT607,SUBTYPEVENT608,SUBTYPEVENT609,SUBTYPEVENT610,SUBTYPEVENT611,SUBTYPEVENT612,SUBTYPEVENT613,SUBTYPEVENT614,COMMENT6,TYPEVENT7,SUBTYPEVENT701,SUBTYPEVENT702,SUBTYPEVENT703,SUBTYPEVENT704,SUBTYPEVENT705,SUBTYPEVENT706,SUBTYPEVENT707,SUBTYPEVENT708,SUBTYPEVENT709,SUBTYPEVENT710,SUBTYPEVENT711,COMMENT7,TYPEVENT8,SUBTYPEVENT801,SUBTYPEVENT802,SUBTYPEVENT803,SUBTYPEVENT804,SUBTYPEVENT805,SUBTYPEVENT806,COMMENT8
1,HUN10004,HUN100001,12-Mar-20,Hungary,HUN,0,,,,8/2020. (III. 12.) EMMI rendelet,"A biztonságos és gazdaságos gyógyszer- és gyógyászatisegédeszköz-ellátás, valamint a  gyógyszerforgalmazás általános szabályairól szóló 2006. évi XCVIII. törvény 77.  § (2)  bekezdés b)  pontjában kapott felhatalmazás alapján, a  Kormány tagjainak
feladat- és hatásköréről szóló 94/2018. (V. 22.) Korm. rendelet 92. § (1) bekezdés 3. pontjában meghatározott feladatkörömben eljárva a következőket rendelem el:","The safe and economical supply of medicines and medical aids and the distribution of medicines are commonXCVIII of 2006 on the rules of on the basis of the authorization received in Section 77 (2) (b) of the Act, to the members of the Government94/2018 on the tasks and powers of the (V. 22.) in the scope of duties specified in Section 92 (1) (3) of the Government DecreeActing as follows:",,,,,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
2,HUN10004,HUN100002,12-Mar-20,Hungary,HUN,0,,,,8/2020. (III. 12.) EMMI rendelet,"(1) Az  emberi felhasználásra kerülő gyógyszerek rendeléséről és kiadásáról szóló 44/2004. (IV. 28.) ESZCSM rendelet
(a továbbiakban: R.) 20/A. § (1) bekezdése helyébe a következő rendelkezés lép:
„(1) Elektronikus vény esetében a gyógyszer kiadását a gyógyszer kiadója az elektronikus vény egyedi azonosítója
alapján, a  felírási igazolást bemutató személy számára teljesíti. F","(1) Decree No. 44/2004 on the prescription and dispensing of medicinal products for human use. (IV. 28.) ESZCSM decree(hereinafter: R.) 20 / A. § (1) is replaced by the following provision:'1. In the case of an electronic prescription, the issuer of the medicinal product shall be the unique identifier of the electronic prescriptionfor the person presenting the certificate of prescription.",,,,,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
3,HUN10004,HUN100003,12-Mar-20,Hungary,HUN,0,,,,8/2020. (III. 12.) EMMI rendelet,"Felírási igazolás hiányában a  gyógyszer kiadása
– a  kötelező egészségbiztosítás ellátásairól szóló törvény szerinti, az  egészségügyi szolgáltatás igénybevételéhez
szükséges igazolást követően – kizárólag a  beteg, a  beteg önrendelkezési nyilvántartásban rögzített
törvényes képviselője, valamint az  önrendelkezési nyilvántartásban rögzített meghatalmazás alapján a  beteg
meghatalmazottja számára történhet.”","In the absence of a prescription, the medicine is dispensed- for the use of health care services in accordance with the Act on Compulsory Health Insurance Benefitsafter the necessary certification - only recorded by the patient in the patient's self-determination registerlegal representative and the patient on the basis of a power of attorney recorded in the register of self-determinationfor his authorized representative.",,,,,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
4,HUN10004,HUN100004,12-Mar-20,Hungary,HUN,0,,,,8/2020. (III. 12.) EMMI rendelet,"(2) Az R. 20/A. §-a a következő (3) bekezdéssel egészül ki:
„(3) Ha az  EESZT nem érhető el, a  gyógyszer az  orvos aláírását és orvosi bélyegzőjének lenyomatát is tartalmazó
felírási igazolás alapján is kiadható.”","(2) R. 20 / A. The following paragraph (3) is added:""3. If the EESC is not available, the medicinal product shall bear the doctor's signature and the impression of his medical stamp.may also be issued on the basis of a prescription certificate. """,,,,,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
5,HUN10004,HUN100005,12-Mar-20,Hungary,HUN,0,,,,8/2020. (III. 12.) EMMI rendelet,"2. § Az R. 20/C. §-a helyébe a következő rendelkezés lép:
„20/C.  § Az  adatok rögzítésére vonatkozó kötelezettségeket az  EESZT bármilyen okból történő elérhetetlensége
esetén a hozzáférés helyreállítását követően, soron kívül kell teljesíteni.”","§ 2R. 20 / C. § is replaced by the following:„20 / C. § Obligations to record data are not available to the EESC for any reasonafter access has been restored, out of turn. """,,,,,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
6,HUN10004,HUN100006,12-Mar-20,Hungary,HUN,0,,,,8/2020. (III. 12.) EMMI rendelet,"3. § Az R. a következő 20/D. §-sal egészül ki:
„20/D.  § (1) A  20/A.  §-ban foglaltaktól eltérően a  Kormány által kihirdetett veszélyhelyzet esetén a  gyógyszer
kiadója a gyógyszer kiadását felírási igazolás nélkül is teljesíti azon személy részére, aki a beteg TAJ-át közli, és saját
természetes személyazonosító adatait külön törvény szerint hitelt érdemlően igazolja.","§ 3R. is shown in the following 20 / D. The following section is added:„20 / D. § (1) A 20 / A. §, in the event of an emergency declared by the GovernmentThe prescriber dispenses the medicinal product without a prescription to the person communicating the patient's TAJ andhis personal identification data are credibly verified in accordance with a separate law.",,,,,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
8,HUN10004,HUN100008,12-Mar-20,Hungary,HUN,0,,,,8/2020. (III. 12.) EMMI rendelet,(2) A gyógyszer kiadója az (1) bekezdés szerinti adatokat elektronikusan rögzíti.”,2. The supplier of the medicinal product shall record the data referred to in paragraph 1 electronically.,,,,,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
9,HUN10004,HUN100009,12-Mar-20,Hungary,HUN,0,,,,8/2020. (III. 12.) EMMI rendelet,4. § Az R. 11/C.  § (2)  bekezdésében az „az Eüak. 14/A.  § (1c)  bekezdése szerint vezetett EESZT vénynyilvántartásban (a továbbiakban: EESZT vénynyilvántartás)” szövegrész helyébe az „az EESZT vénynyilvántartásban” szöveg lép.,"§ 4R. 11 / C. § (2), the words “the Eüak. 14 / A. § (1c) in the EESC register of prescriptions(hereinafter referred to as the ""EESC register of prescriptions)"" is replaced by ""in the EESC register of prescriptions"".",,,,,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
10,HUN10004,HUN100010,12-Mar-20,Hungary,HUN,0,,,,8/2020. (III. 12.) EMMI rendelet,5. § Ez a rendelet a kihirdetését követő napon lép hatályba.,§ 5 This Regulation shall enter into force on the day following that of its publication.,,,,,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
11,HUN10007,HUN100011,14-Mar-20,Hungary,HUN,0,,,,1102/2020. (III. 14.) Korm. Határozat,"A Kormány
1. felhívja az  emberi erőforrások miniszterét, valamint az  innovációért és technológiáért felelős minisztert, hogy
a katasztrófavédelemről és a hozzá kapcsolódó egyes törvények módosításáról szóló 2011. évi CXXVIII. törvény 51. §(4) bekezdésében foglalt hatáskörében eljárva – a köznevelésről szóló 2011. CXC. Törvény 7. § a), k) és l) pontjában
foglalt intézményeket ide nem értve – valamennyi köznevelési intézmény és szakképző intézmény (a továbbiakban:
iskolák) működési rendjét az alábbiak figyelembevételével határozzák meg:","The government1. Calls on the Minister for Human Resources and the Minister for Innovation and Technology to:Act CXXVIII of 2011 on Disaster Management and Amendments to Certain Related Acts. Section 51 of the ActActing in accordance with the provisions of Paragraph 4 of the Act CXC of 2011 on Public Education. Section 7 a), k) and l) of the Actall public education and vocational training institutions (hereinafter referred to asschools) shall be determined taking into account:",,3,,,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
